project,total count,mean jaccard,mean hamming,mean precision,mean recall,mean f1-score,mean accuracy
asphalt,31,0.457,1.29,0.645,0.457,0.516,0.29
bs4,10,0.446,1.9,0.6,0.446,0.472,0.4
faker,10,0.446,1.9,0.6,0.446,0.472,0.4
hbmqtt,29,0.224,1.793,0.241,0.224,0.23,0.207
httpie,12,0.458,1.083,0.5,0.458,0.472,0.417
oauthlib,159,0.69,0.73,0.796,0.693,0.725,0.585
pycookiecheat,1,1.0,0.0,1.0,1.0,1.0,1.0
pydantic,5,0.429,2.6,0.6,0.429,0.45,0.4
requests,63,0.49,1.635,0.762,0.49,0.558,0.317
sh,4,0.016,5.25,0.25,0.016,0.029,0.0
total,314,0.555,1.201,0.696,0.557,0.595,0.446
