project,total count,mean jaccard,mean hamming,mean precision,mean recall,mean f1-score,mean accuracy
asphalt,31,0.602,0.871,0.758,0.608,0.656,0.452
bs4,10,0.596,1.2,0.8,0.596,0.639,0.5
faker,0,0.0,0.0,0.0,0.0,0.0,0.0
hbmqtt,29,0.586,0.655,0.672,0.603,0.621,0.483
httpie,12,0.375,0.917,0.417,0.375,0.389,0.333
oauthlib,159,0.809,0.44,0.925,0.811,0.847,0.698
pycookiecheat,1,1.0,0.0,1.0,1.0,1.0,1.0
pydantic,5,0.429,2.6,0.6,0.429,0.45,0.4
requests,63,0.526,1.381,0.786,0.529,0.6,0.333
sh,4,0.016,4.75,0.25,0.016,0.029,0.0
total,314,0.672,0.822,0.82,0.676,0.717,0.548
