project,total count,mean jaccard,mean hamming,mean precision,mean recall,mean f1-score,mean accuracy
asphalt,31,0.301,1.581,0.419,0.301,0.339,0.194
bs4,10,0.546,1.6,0.7,0.546,0.572,0.5
faker,10,0.546,1.6,0.7,0.546,0.572,0.5
hbmqtt,29,0.236,1.724,0.259,0.241,0.247,0.207
httpie,12,0.292,1.333,0.333,0.292,0.306,0.25
oauthlib,159,0.703,0.623,0.78,0.703,0.729,0.629
pycookiecheat,1,1.0,0.0,1.0,1.0,1.0,1.0
pydantic,5,0.429,2.6,0.6,0.429,0.45,0.4
requests,63,0.39,1.937,0.54,0.39,0.426,0.302
sh,4,0.016,5.25,0.25,0.016,0.029,0.0
total,314,0.525,1.229,0.619,0.525,0.551,0.452
