project,total count,mean jaccard,mean hamming,mean precision,mean recall,mean f1-score,mean accuracy
asphalt,31,0.269,1.613,0.387,0.269,0.306,0.161
bs4,10,0.546,1.6,0.7,0.546,0.572,0.5
faker,10,0.546,1.6,0.7,0.546,0.572,0.5
hbmqtt,29,0.19,1.862,0.207,0.19,0.195,0.172
httpie,12,0.375,1.167,0.417,0.375,0.389,0.333
oauthlib,159,0.0,1.321,0.0,0.0,0.0,0.0
pycookiecheat,1,1.0,0.0,1.0,1.0,1.0,1.0
pydantic,5,0.429,2.6,0.6,0.429,0.45,0.4
requests,63,0.393,1.968,0.508,0.393,0.422,0.317
sh,4,0.016,5.25,0.25,0.016,0.029,0.0
total,314,0.165,1.599,0.213,0.165,0.177,0.134
