project,total count,mean jaccard,mean hamming,mean precision,mean recall,mean f1-score,mean accuracy
asphalt,31,0.43,1.323,0.581,0.43,0.478,0.29
bs4,10,0.546,1.6,0.7,0.546,0.572,0.5
faker,10,0.546,1.6,0.7,0.546,0.572,0.5
hbmqtt,29,0.236,1.724,0.259,0.241,0.247,0.207
httpie,12,0.25,1.333,0.25,0.25,0.25,0.25
oauthlib,159,0.65,0.786,0.745,0.651,0.68,0.566
pycookiecheat,1,1.0,0.0,1.0,1.0,1.0,1.0
pydantic,5,0.429,2.6,0.6,0.429,0.45,0.4
requests,63,0.38,1.873,0.516,0.388,0.417,0.286
sh,4,0.016,5.25,0.25,0.016,0.029,0.0
total,314,0.507,1.274,0.61,0.51,0.537,0.427
